x_mm;z_mm;V;U;W
25.08403864;-71.11758656;-0.003600749;0.063997556;-0.033220797
25.08403864;-69.5529698;-0.003325435;0.069518691;-0.040420147
25.08403864;-67.98835305;-0.002707537;0.075467355;-0.055824457
25.08403864;-66.42373629;-0.002786993;0.080476931;-0.066877115
25.08403864;-64.85911954;-0.002745524;0.086051723;-0.071411088
25.08403864;-63.29450278;-0.002472731;0.091615489;-0.074983884
25.08403864;-61.72988603;-0.002242518;0.097763262;-0.079677398
25.08403864;-60.16526927;-0.002005764;0.100790851;-0.088121938
25.08403864;-58.60065252;-0.002328936;0.100854872;-0.088640516
25.08403864;-57.03603576;-0.002430383;0.108863455;-0.099640443
25.08403864;-55.47141901;-0.00219086;0.114921259;-0.108759417
25.08403864;-53.90680226;-0.001958679;0.117765004;-0.109370028
25.08403864;-52.3421855;-0.001736551;0.121462393;-0.113112535
25.08403864;-50.77756875;-0.001415518;0.124108374;-0.12309685
25.08403864;-49.21295199;-0.000893243;0.128738429;-0.131582269
25.08403864;-47.64833524;-0.000145564;0.134376181;-0.139000669
25.08403864;-46.08371848;0.000157611;0.137694635;-0.142339005
25.08403864;-44.51910173;0.000391089;0.141455609;-0.144075049
25.08403864;-42.95448497;0.000760742;0.145217137;-0.142121391
25.08403864;-41.38986822;0.000745293;0.148722646;-0.138151344
25.08403864;-39.82525147;0.00067056;0.151741282;-0.134893755
25.08403864;-38.26063471;0.000877016;0.15392959;-0.132697191
25.08403864;-36.69601796;0.001183288;0.155874532;-0.133333695
25.08403864;-35.1314012;0.001502876;0.158589161;-0.133713152
25.08403864;-33.56678445;0.001471433;0.161406601;-0.130771886
25.08403864;-32.00216769;0.001174702;0.164341707;-0.129620117
25.08403864;-30.43755094;0.001378213;0.16694487;-0.128453655
25.08403864;-28.87293418;0.002229986;0.168166772;-0.129306492
25.08403864;-27.30831743;0.001879982;0.172139714;-0.119006836
25.08403864;-25.74370068;0.001323093;0.17422997;-0.115140827
25.08403864;-24.17908392;0.001847029;0.176942574;-0.123275806
25.08403864;-22.61446717;0.002304709;0.179668527;-0.120972515
25.08403864;-21.04985041;0.002653992;0.179440774;-0.11207061
25.08403864;-19.48523366;0.003372533;0.177538839;-0.107629065
25.08403864;-17.9206169;0.006119392;0.178481755;-0.109851451
25.08403864;-16.35600015;0.011567206;0.179706331;-0.114565283
25.08403864;-14.79138339;0.021406229;0.179415561;-0.123865641
25.08403864;-13.22676664;0.039642739;0.180042037;-0.145642258
25.08403864;-11.66214988;0.06747485;0.180717499;-0.188899962
25.08403864;-10.09753313;0.1092208;0.178472866;-0.278754305
25.08403864;-8.532916376;0.151280256;0.169325105;-0.384054779
25.08403864;-6.968299621;0.178833896;0.11182636;-0.509911099
25.08403864;-5.403682867;0.214555526;0.058183369;0.29221875
25.08403864;-3.839066112;0.171436192;0.180836255;2.112022333
25.08403864;-2.274449358;0.21763498;0.42042204;-0.300557408
25.08403864;-0.709832603;0.168189802;0.03332686;-0.513949509
25.08403864;0.854784151;0.129030172;0.146441285;-0.271289363
25.08403864;2.419400906;0.16106751;0.180171849;-0.260431862
25.08403864;3.98401766;0.200269927;0.230372018;-0.114441094
25.08403864;5.548634415;0.239430902;0.041785769;-0.661810032
25.08403864;7.113251169;0.2078541;-0.071855689;-0.550777148
25.08403864;8.677867924;0.170252663;-0.115478685;-0.443897949
25.08403864;10.24248468;0.130609173;-0.141794637;-0.352315882
25.08403864;11.80710143;0.08701937;-0.158394339;-0.259365808
25.08403864;13.37171819;0.055811522;-0.166554404;-0.204139249
25.08403864;14.93633494;0.037552166;-0.171020482;-0.177001604
25.08403864;16.5009517;0.025992868;-0.172017051;-0.15935437
25.08403864;18.06556845;0.019773484;-0.170864223;-0.153148927
25.08403864;19.6301852;0.016534918;-0.168197774;-0.151301403
25.08403864;21.19480196;0.013698391;-0.167323932;-0.146534892
25.08403864;22.75941871;0.01061995;-0.165697676;-0.141237378
25.08403864;24.32403547;0.007652482;-0.163385203;-0.137184416
25.08403864;25.88865222;0.007183659;-0.158205733;-0.139863187
25.08403864;27.45326898;0.007319065;-0.156349115;-0.14237983
25.08403864;29.01788573;0.006083626;-0.155580014;-0.143470859
25.08403864;30.58250249;0.005358308;-0.152231429;-0.147437822
25.08403864;32.14711924;0.003114209;-0.148497708;-0.143087954
25.08403864;33.711736;0.001722305;-0.145445539;-0.143724806
25.08403864;35.27635275;0.001973717;-0.142789672;-0.148547596
25.08403864;36.8409695;0.001684516;-0.140354045;-0.147146578
25.08403864;38.40558626;0.000847754;-0.136418068;-0.144976382
25.08403864;39.97020301;0.000493085;-0.132148323;-0.14776766
25.08403864;41.53481977;-0.001082549;-0.128204437;-0.148736976
25.08403864;43.09943652;-0.002237389;-0.124292701;-0.149557989
25.08403864;44.66405328;-0.001713676;-0.120032011;-0.153903349
25.08403864;46.22867003;-0.002826502;-0.116939222;-0.153264298
25.08403864;47.79328679;-0.00395065;-0.113477836;-0.151300185
25.08403864;49.35790354;-0.00553589;-0.110100344;-0.145580713
25.08403864;50.92252029;-0.007223059;-0.107568358;-0.139529758
25.08403864;52.48713705;-0.007017903;-0.103232932;-0.14031844
25.08403864;54.0517538;-0.006153401;-0.098319952;-0.143587749
25.08403864;55.61637056;-0.005804665;-0.094816357;-0.145057651
25.08403864;57.18098731;-0.005158125;-0.090942424;-0.147600045
25.08403864;58.74560407;-0.005506657;-0.086983963;-0.146595266
25.08403864;60.31022082;-0.007095431;-0.084145366;-0.138748557
25.08403864;61.87483758;-0.007205915;-0.080581792;-0.135810399
25.08403864;63.43945433;-0.006008084;-0.077925688;-0.137058574
25.08403864;65.00407108;-0.00680383;-0.072858964;-0.137609933
25.08403864;66.56868784;-0.007437207;-0.069630195;-0.133917954
25.08403864;68.13330459;-0.006064388;-0.065606732;-0.134594207
25.08403864;69.69792135;-0.005009319;-0.061279258;-0.136280031
25.08403864;71.2625381;-0.004369816;-0.057574732;-0.138687218
25.08403864;72.82715486;-0.003967273;-0.054183934;-0.138945419
25.08403864;74.39177161;-0.003988669;-0.050150772;-0.13736138
25.08403864;75.95638837;-0.004763337;-0.047629996;-0.131331913
25.08403864;77.52100512;-0.004269503;-0.045921538;-0.127760422
25.08403864;79.08562188;-0.002487574;-0.041408187;-0.132431745
25.08403864;80.65023863;-0.001513881;-0.036630951;-0.13605658
25.08403864;82.21485538;-0.001271922;-0.035103134;-0.131599281
25.08403864;83.77947214;-0.001553913;-0.03284025;-0.122278882
25.08403864;85.34408889;-0.001887983;-0.031693522;-0.116187268
25.08403864;86.90870565;-0.001822367;-0.029715327;-0.113116917
25.08403864;88.4733224;-0.001818319;-0.024662956;-0.116136273
25.08403864;90.03793916;-0.003021553;-0.024008297;-0.112033036
25.08403864;91.60255591;-0.003555278;-0.015491646;-0.10974092
25.08403864;93.16717267;-0.002980825;-0.014208807;-0.097675207
25.08403864;94.73178942;-0.002387729;-0.012501703;-0.100914566
25.08403864;96.29640617;-0.002885311;-0.012504595;-0.095226737
25.08403864;97.86102293;-0.002158395;-0.007809054;-0.101167003
25.08403864;99.42563968;-0.001575327;0.000188928;-0.113265417
25.08403864;100.9902564;-0.001983464;0.003304301;-0.115551531
25.08403864;102.5548732;0;0;0
26.64374948;-77.37605357;-0.005029778;0.04413658;-0.007742997
26.64374948;-75.81143682;-0.005025611;0.047685729;-0.012128946
26.64374948;-74.24682006;-0.004785499;0.053613752;-0.018289784
26.64374948;-72.68220331;-0.005071319;0.060066455;-0.025304804
26.64374948;-71.11758656;-0.005344064;0.063943219;-0.030475408
26.64374948;-69.5529698;-0.005109919;0.06854304;-0.038347784
26.64374948;-67.98835305;-0.004909714;0.074306445;-0.052603837
26.64374948;-66.42373629;-0.004839315;0.079712995;-0.064797701
26.64374948;-64.85911954;-0.00466355;0.085119649;-0.070220243
26.64374948;-63.29450278;-0.00449008;0.090269208;-0.074164469
26.64374948;-61.72988603;-0.004562861;0.096198212;-0.077316825
26.64374948;-60.16526927;-0.004339653;0.100495827;-0.085840767
26.64374948;-58.60065252;-0.004545322;0.102753715;-0.088596331
26.64374948;-57.03603576;-0.004925008;0.108640582;-0.090762992
26.64374948;-55.47141901;-0.004441413;0.114366863;-0.105464025
26.64374948;-53.90680226;-0.004260419;0.118395252;-0.108920824
26.64374948;-52.3421855;-0.004196036;0.121435938;-0.107263266
26.64374948;-50.77756875;-0.003786668;0.124384164;-0.114919021
26.64374948;-49.21295199;-0.003217839;0.129332646;-0.125757153
26.64374948;-47.64833524;-0.002280422;0.135641565;-0.137425535
26.64374948;-46.08371848;-0.001910622;0.13875422;-0.140187378
26.64374948;-44.51910173;-0.001834955;0.143160065;-0.139701233
26.64374948;-42.95448497;-0.001466675;0.147283097;-0.13910228
26.64374948;-41.38986822;-0.001372695;0.15019212;-0.139093311
26.64374948;-39.82525147;-0.001347844;0.152524017;-0.139180765
26.64374948;-38.26063471;-0.001098619;0.154638711;-0.135827102
26.64374948;-36.69601796;-0.000924453;0.156598443;-0.131054912
26.64374948;-35.1314012;-0.000490853;0.159894467;-0.131874399
26.64374948;-33.56678445;-7.66E-05;0.163757352;-0.133958051
26.64374948;-32.00216769;-0.000149017;0.16654058;-0.131695703
26.64374948;-30.43755094;0.000253946;0.168821276;-0.133064136
26.64374948;-28.87293418;0.00107784;0.170864903;-0.132064894
26.64374948;-27.30831743;0.000729802;0.173447504;-0.121073516
26.64374948;-25.74370068;0.000295624;0.176865196;-0.110921507
26.64374948;-24.17908392;0.001004835;0.178147805;-0.113824116
26.64374948;-22.61446717;0.001472887;0.181298342;-0.114528619
26.64374948;-21.04985041;0.001931765;0.182400064;-0.109511268
26.64374948;-19.48523366;0.003338716;0.181614403;-0.105650036
26.64374948;-17.9206169;0.006753265;0.181765901;-0.105752612
26.64374948;-16.35600015;0.012549107;0.181664971;-0.107570984
26.64374948;-14.79138339;0.023269448;0.181320628;-0.117673351
26.64374948;-13.22676664;0.042647966;0.183595915;-0.146007322
26.64374948;-11.66214988;0.072540127;0.186051756;-0.198559998
26.64374948;-10.09753313;0.117521252;0.186330299;-0.297255832
26.64374948;-8.532916376;0.165037636;0.179377995;-0.417852805
26.64374948;-6.968299621;0.204112154;0.125679585;-0.579589687
26.64374948;-5.403682867;0.283784713;0.075589599;-0.626121777
26.64374948;-3.839066112;0.288163542;0.100828338;-0.10741463
26.64374948;-2.274449358;0.261149193;0.142210996;-0.527529609
26.64374948;-0.709832603;0.175264232;0.027043758;-0.325551019
26.64374948;0.854784151;0.12870613;0.067937752;-0.149956458
26.64374948;2.419400906;0.186298522;0.06924846;-0.316614656
26.64374948;3.98401766;0.253264364;0.069299415;-0.418381862
26.64374948;5.548634415;0.278079002;0.002713855;-0.666203635
26.64374948;7.113251169;0.233117617;-0.088931238;-0.58627452
26.64374948;8.677867924;0.187341151;-0.126568881;-0.479535779
26.64374948;10.24248468;0.142189437;-0.149269782;-0.375474401
26.64374948;11.80710143;0.094168852;-0.16385572;-0.268789628
26.64374948;13.37171819;0.059543452;-0.170551404;-0.20286409
26.64374948;14.93633494;0.03934329;-0.173536002;-0.1727272
26.64374948;16.5009517;0.026798323;-0.173929473;-0.156369218
26.64374948;18.06556845;0.019843247;-0.173036618;-0.150948409
26.64374948;19.6301852;0.01621765;-0.170186784;-0.149085336
26.64374948;21.19480196;0.012425799;-0.169542988;-0.143361151
26.64374948;22.75941871;0.008580887;-0.167252912;-0.138960968
26.64374948;24.32403547;0.005562949;-0.165088758;-0.135254073
26.64374948;25.88865222;0.00581216;-0.160504224;-0.141295285
26.64374948;27.45326898;0.006602996;-0.157928219;-0.146599553
26.64374948;29.01788573;0.005561822;-0.157960281;-0.14666994
26.64374948;30.58250249;0.004065429;-0.155254083;-0.147474265
26.64374948;32.14711924;0.002199168;-0.150922943;-0.14345036
26.64374948;33.711736;0.001215078;-0.147689903;-0.147726694
26.64374948;35.27635275;0.000762212;-0.145413746;-0.150713253
26.64374948;36.8409695;-0.000415741;-0.143540661;-0.145368651
26.64374948;38.40558626;-0.001244293;-0.138878987;-0.143594013
26.64374948;39.97020301;-0.000672294;-0.134239646;-0.151148165
26.64374948;41.53481977;-0.001850036;-0.130024218;-0.15243824
26.64374948;43.09943652;-0.003649938;-0.126232242;-0.149342146
26.64374948;44.66405328;-0.004115736;-0.122827204;-0.150063968
26.64374948;46.22867003;-0.004672749;-0.118857007;-0.151028254
26.64374948;47.79328679;-0.006207403;-0.115157934;-0.148245375
26.64374948;49.35790354;-0.008372264;-0.111311514;-0.141271543
26.64374948;50.92252029;-0.009881405;-0.108053989;-0.135292731
26.64374948;52.48713705;-0.009216158;-0.103179857;-0.137421581
26.64374948;54.0517538;-0.007419267;-0.097737227;-0.143985665
26.64374948;55.61637056;-0.008041326;-0.095667684;-0.140517849
26.64374948;57.18098731;-0.008332866;-0.092467789;-0.140792643
26.64374948;58.74560407;-0.006999434;-0.087110034;-0.14522775
26.64374948;60.31022082;-0.008434194;-0.0844714;-0.137053164
26.64374948;61.87483758;-0.009856979;-0.081262482;-0.130599382
26.64374948;63.43945433;-0.008383299;-0.077731056;-0.133532945
26.64374948;65.00407108;-0.007794667;-0.072536125;-0.138602121
26.64374948;66.56868784;-0.00828382;-0.070331747;-0.134960931
26.64374948;68.13330459;-0.007909303;-0.066753779;-0.132426873
26.64374948;69.69792135;-0.008004575;-0.0631217;-0.128377502
26.64374948;71.2625381;-0.007619092;-0.058510598;-0.129410767
26.64374948;72.82715486;-0.006949225;-0.054394422;-0.1298869
26.64374948;74.39177161;-0.0062961;-0.051110625;-0.130144967
26.64374948;75.95638837;-0.006546237;-0.048849427;-0.128063213
26.64374948;77.52100512;-0.006978384;-0.046825299;-0.122213612
26.64374948;79.08562188;-0.005095769;-0.041443194;-0.124209169
26.64374948;80.65023863;-0.003221581;-0.037407956;-0.12832071
26.64374948;82.21485538;-0.00282562;-0.035506614;-0.127994945
26.64374948;83.77947214;-0.003134861;-0.032609256;-0.121295085
26.64374948;85.34408889;-0.003040021;-0.03060956;-0.116569398
26.64374948;86.90870565;-0.003085572;-0.029192253;-0.111476528
26.64374948;88.4733224;-0.0038068;-0.025937889;-0.112430003
26.64374948;90.03793916;-0.004520454;-0.023782903;-0.107639758
26.64374948;91.60255591;-0.004625084;-0.012363058;-0.113579201
26.64374948;93.16717267;-0.005061571;-0.010966398;-0.104150311
26.64374948;94.73178942;-0.00425544;-0.010377071;-0.104107612
26.64374948;96.29640617;-0.003785578;-0.010174188;-0.102423181
26.64374948;97.86102293;-0.004080237;-0.006261616;-0.106193084
26.64374948;99.42563968;-0.003911008;0.000596412;-0.11625374
26.64374948;100.9902564;-0.003059692;0.004694485;-0.119739074
26.64374948;102.5548732;0;0;0
28.20346031;-77.37605357;-0.006657615;0.043959639;-0.007113249
28.20346031;-75.81143682;-0.006440327;0.046703806;-0.016157701
28.20346031;-74.24682006;-0.006419183;0.052999301;-0.019356034
28.20346031;-72.68220331;-0.006490561;0.060292065;-0.022620511
28.20346031;-71.11758656;-0.006515463;0.064545629;-0.031962657
28.20346031;-69.5529698;-0.006772545;0.068382289;-0.040721459
28.20346031;-67.98835305;-0.007272633;0.073020348;-0.047844938
28.20346031;-66.42373629;-0.006905382;0.078799878;-0.060395257
28.20346031;-64.85911954;-0.006560593;0.084642322;-0.070104026
28.20346031;-63.29450278;-0.006876508;0.089715665;-0.07200415
28.20346031;-61.72988603;-0.007409933;0.095494223;-0.073177904
28.20346031;-60.16526927;-0.00747256;0.101897216;-0.080960142
28.20346031;-58.60065252;-0.007409972;0.104786752;-0.08722108
28.20346031;-57.03603576;-0.007291298;0.107556859;-0.091289938
28.20346031;-55.47141901;-0.006358234;0.113430202;-0.108375523
28.20346031;-53.90680226;-0.006092936;0.117912065;-0.114742927
28.20346031;-52.3421855;-0.006024631;0.120516123;-0.11534109
28.20346031;-50.77756875;-0.005492471;0.124603795;-0.121455378
28.20346031;-49.21295199;-0.004960733;0.129525126;-0.126763062
28.20346031;-47.64833524;-0.004352523;0.137248097;-0.133100184
28.20346031;-46.08371848;-0.004163641;0.140245443;-0.132873253
28.20346031;-44.51910173;-0.003849226;0.143827144;-0.137773136
28.20346031;-42.95448497;-0.003348362;0.146472793;-0.142727889
28.20346031;-41.38986822;-0.003085908;0.149386134;-0.144530998
28.20346031;-39.82525147;-0.002761541;0.151761987;-0.145314002
28.20346031;-38.26063471;-0.002606788;0.154653516;-0.142835589
28.20346031;-36.69601796;-0.002749629;0.158269129;-0.138058069
28.20346031;-35.1314012;-0.002301631;0.161233797;-0.136221586
28.20346031;-33.56678445;-0.001561281;0.163505367;-0.136040019
28.20346031;-32.00216769;-0.001171249;0.165873232;-0.135525988
28.20346031;-30.43755094;-0.000734778;0.168513804;-0.13020236
28.20346031;-28.87293418;-4.08E-05;0.171040507;-0.124709637
28.20346031;-27.30831743;-7.00E-05;0.173118837;-0.114132205
28.20346031;-25.74370068;-9.91E-05;0.177554371;-0.110003661
28.20346031;-24.17908392;0.000206471;0.17861712;-0.109313513
28.20346031;-22.61446717;0.0007391;0.18131495;-0.10915292
28.20346031;-21.04985041;0.001380832;0.182885861;-0.109087302
28.20346031;-19.48523366;0.003418828;0.182949098;-0.108666482
28.20346031;-17.9206169;0.007316088;0.182424328;-0.106913127
28.20346031;-16.35600015;0.013653427;0.182204689;-0.110907082
28.20346031;-14.79138339;0.024787831;0.183155229;-0.119629207
28.20346031;-13.22676664;0.044605835;0.187187502;-0.146909224
28.20346031;-11.66214988;0.076673622;0.191353256;-0.208083894
28.20346031;-10.09753313;0.124450154;0.193865993;-0.319302268
28.20346031;-8.532916376;0.177320939;0.190563736;-0.460219662
28.20346031;-6.968299621;0.227759333;0.14455667;-0.666440262
28.20346031;-5.403682867;0.334003467;0.104412356;-1.080368858
28.20346031;-3.839066112;0.37154434;0.097676172;-1.164957749
28.20346031;-2.274449358;0.258142198;0.065501599;-0.802203431
28.20346031;-0.709832603;0.128395566;0.033871236;-0.385448568
28.20346031;0.854784151;0.097333664;0.028105304;-0.297863026
28.20346031;2.419400906;0.163593248;0.02128595;-0.471485248
28.20346031;3.98401766;0.287422185;0.004348694;-0.758084112
28.20346031;5.548634415;0.323406952;-0.021807304;-0.882959031
28.20346031;7.113251169;0.260126399;-0.101912511;-0.674326261
28.20346031;8.677867924;0.202914753;-0.136956109;-0.524436789
28.20346031;10.24248468;0.150095445;-0.156979387;-0.391701115
28.20346031;11.80710143;0.099449054;-0.167967617;-0.274792325
28.20346031;13.37171819;0.062977474;-0.172516514;-0.204300475
28.20346031;14.93633494;0.040982353;-0.17472551;-0.169002211
28.20346031;16.5009517;0.027222268;-0.175260151;-0.150877088
28.20346031;18.06556845;0.019618028;-0.17497313;-0.145545346
28.20346031;19.6301852;0.015617589;-0.17172731;-0.144460738
28.20346031;21.19480196;0.011264734;-0.170097859;-0.139766321
28.20346031;22.75941871;0.007191848;-0.167748721;-0.136297382
28.20346031;24.32403547;0.005185078;-0.165616913;-0.1365407
28.20346031;25.88865222;0.005515297;-0.16159807;-0.142480807
28.20346031;27.45326898;0.005758009;-0.159125541;-0.148885453
28.20346031;29.01788573;0.00395192;-0.158883078;-0.145915455
28.20346031;30.58250249;0.001650688;-0.157360504;-0.142189975
28.20346031;32.14711924;0.000849323;-0.152197817;-0.141798686
28.20346031;33.711736;0.000313367;-0.148848662;-0.148021813
28.20346031;35.27635275;-0.001210807;-0.146504016;-0.14706523
28.20346031;36.8409695;-0.003007996;-0.144072787;-0.141043837
28.20346031;38.40558626;-0.003925122;-0.140218649;-0.141507427
28.20346031;39.97020301;-0.002951767;-0.135152273;-0.152250441
28.20346031;41.53481977;-0.003065417;-0.13098738;-0.155505958
28.20346031;43.09943652;-0.005395082;-0.127828792;-0.148388395
28.20346031;44.66405328;-0.006815538;-0.124346116;-0.145625017
28.20346031;46.22867003;-0.007460393;-0.119491549;-0.146276137
28.20346031;47.79328679;-0.009132511;-0.115592632;-0.142749417
28.20346031;49.35790354;-0.010370885;-0.111672465;-0.139712764
