x_m,y_m,z_m,U,V,W
0.0391214362,0.0,0.0924358002,0.11509468,-0.281143761,0.183195548
0.0391214362,0.0,0.094000417,0.163752006,-0.404913558,0.186469934
0.0391214362,0.0,0.0955650337,0.227056887,-0.551206682,0.18413973
0.0391214362,0.0,0.0971296505,0.307883855,-0.685126883,0.17902296
0.0391214362,0.0,0.0986942672,0.396805421,-0.793460577,0.157874582
0.0391214362,0.0,0.100258884,0.46473955,-0.806476,0.119861682
0.0391214362,0.0,0.1018235007,0.502320915,-0.782190055,0.07577985
0.0391214362,0.0,0.1033881175,0.507125325,-0.760769826,0.032467909
0.0391214362,0.0,0.1049527342,0.48347938,-0.800227154,-0.005345528
0.0391214362,0.0,0.106517351,0.427601069,-0.806655937,-0.044110711
0.0391214362,0.0,0.1080819677,0.344763817,-0.740376139,-0.083081859
0.0391214362,0.0,0.1096465845,0.262738815,-0.631071706,-0.109794011
0.0391214362,0.0,0.1112112013,0.195488927,-0.502263688,-0.130870617
0.0391214362,0.0,0.112775818,0.142437278,-0.367016385,-0.147172092
0.0391214362,0.0,0.1143404348,0.098305969,-0.263815594,-0.156013835
0.0391214362,0.0,0.1159050515,0.064623252,-0.197259025,-0.159677106
0.0391214362,0.0,0.1174696683,0.042132148,-0.164542476,-0.16001944
0.0391214362,0.0,0.119034285,0.025371316,-0.142618876,-0.161121558
0.0391214362,0.0,0.1205989018,0.014912226,-0.128403561,-0.160443517
0.0391214362,0.0,0.1221635185,0.007730298,-0.120316153,-0.160288445
0.0391214362,0.0,0.1237281353,0.003500434,-0.124217213,-0.159224731
0.0391214362,0.0,0.125292752,0.000893655,-0.130537449,-0.157292474
0.0391214362,0.0,0.1268573688,-0.00064071,-0.134252316,-0.154972361
0.0391214362,0.0,0.1284219856,-0.001826184,-0.141307053,-0.15281572
0.0391214362,0.0,0.1299866023,-0.004001232,-0.143631326,-0.151541035
0.0391214362,0.0,0.1315512191,-0.006817542,-0.140910466,-0.148871455
0.0391214362,0.0,0.1331158358,-0.008112377,-0.142266277,-0.147041283
0.0391214362,0.0,0.1346804526,-0.008353197,-0.145536108,-0.142444254
0.0391214362,0.0,0.1362450693,-0.01047824,-0.143158341,-0.140262194
0.0391214362,0.0,0.1378096861,-0.012419071,-0.142419088,-0.136397585
0.0391214362,0.0,0.1393743028,-0.012294546,-0.147551217,-0.133228636
0.0391214362,0.0,0.1409389196,-0.011881716,-0.152546794,-0.12915951
0.0391214362,0.0,0.1425035363,-0.013027105,-0.15384772,-0.125037585
0.0391214362,0.0,0.1440681531,-0.016329123,-0.148953895,-0.120965951
0.0391214362,0.0,0.1456327699,-0.019531347,-0.141943683,-0.117436083
0.0391214362,0.0,0.1471973866,-0.021288173,-0.137129625,-0.114203352
0.0391214362,0.0,0.1487620034,-0.023069351,-0.133349987,-0.110328098
0.0391214362,0.0,0.1503266201,-0.023966991,-0.133947738,-0.105675431
0.0391214362,0.0,0.1518912369,-0.024508802,-0.134540397,-0.100988156
0.0391214362,0.0,0.1534558536,-0.024749111,-0.135536064,-0.096726177
0.0391214362,0.0,0.1550204704,-0.025636902,-0.135616606,-0.090921284
0.0391214362,0.0,0.1565850871,-0.02648415,-0.130205958,-0.088612093
0.0391214362,0.0,0.1581497039,-0.026909692,-0.127457829,-0.085209799
0.0391214362,0.0,0.1597143206,-0.028318211,-0.121957806,-0.080750254
0.0391214362,0.0,0.1612789374,-0.029616916,-0.117719632,-0.077384602
0.0391214362,0.0,0.1628435542,-0.027531937,-0.124543974,-0.072555035
0.0391214362,0.0,0.1644081709,-0.026273817,-0.126403527,-0.0673206
0.0391214362,0.0,0.1659727877,-0.027909992,-0.117566718,-0.065572033
0.0391214362,0.0,0.1675374044,-0.028189731,-0.114539153,-0.061793609
0.0391214362,0.0,0.1691020212,-0.028806182,-0.110933212,-0.058328438
0.0391214362,0.0,0.1706666379,-0.028246315,-0.109534472,-0.05555767
0.0391214362,0.0,0.1722312547,-0.026923352,-0.108620343,-0.052321637
0.0391214362,0.0,0.1737958714,-0.027634055,-0.102185281,-0.04959252
0.0391214362,0.0,0.1753604882,-0.026197564,-0.105145789,-0.044800811
0.0391214362,0.0,0.1769251049,-0.024761163,-0.104671934,-0.042597912
0.0391214362,0.0,0.1784897217,-0.024759427,-0.096610047,-0.042596683
0.0391214362,0.0,0.1800543385,-0.02315337,-0.096943254,-0.03882623
0.0391214362,0.0,0.1816189552,-0.021692095,-0.100798317,-0.032964584
0.0391214362,0.0,0.183183572,-0.022662135,-0.091548234,-0.034282766
0.0391214362,0.0,0.1847481887,-0.022557875,-0.085351578,-0.031947067
0.0391214362,0.0,0.1863128055,-0.020951492,-0.085317697,-0.028528205
0.0391214362,0.0,0.1878774222,-0.019322559,-0.090368003,-0.023185145
0.0391214362,0.0,0.189442039,-0.019970315,-0.083460351,-0.021555418
0.0391214362,0.0,0.1910066557,-0.023655945,-0.063707581,-0.022347971
0.0391214362,0.0,0.1925712725,-0.02518291,-0.059173647,-0.017809812
0.0391214362,0.0,0.1941358892,-0.024134514,-0.068327079,-0.012363167
0.0391214362,0.0,0.195700506,-0.023031273,-0.074418479,-0.009426831
0.0391214362,0.0,0.1972651228,-0.021153206,-0.077617393,-0.00783806
0.0391214362,0.0,0.1988297395,-0.01895431,-0.079250727,-0.006709027
0.0391214362,0.0,0.2003943563,-0.017444978,-0.082369226,-0.003181578
0.040681147,0.0,0.0251572798,-0.020494235,-0.011658328,0.034270646
0.040681147,0.0,0.0267218965,-0.021062231,-0.010055237,0.038904549
0.040681147,0.0,0.0282865133,-0.021446887,-0.014993409,0.045612346
0.040681147,0.0,0.02985113,-0.021549896,-0.026834345,0.050069222
0.040681147,0.0,0.0314157468,-0.02171987,-0.028619022,0.052944229
0.040681147,0.0,0.0329803635,-0.021423778,-0.03613343,0.057666824
0.040681147,0.0,0.0345449803,-0.021181123,-0.044357243,0.062255826
0.040681147,0.0,0.036109597,-0.020842534,-0.056524479,0.067837747
0.040681147,0.0,0.0376742138,-0.021219397,-0.068374475,0.071873594
0.040681147,0.0,0.0392388306,-0.022149433,-0.074449473,0.075866426
0.040681147,0.0,0.0408034473,-0.022087397,-0.083330586,0.079573028
0.040681147,0.0,0.0423680641,-0.021553969,-0.093174363,0.082416235
0.040681147,0.0,0.0439326808,-0.021885215,-0.095624328,0.087342928
0.040681147,0.0,0.0454972976,-0.021780642,-0.100129245,0.094946929
0.040681147,0.0,0.0470619143,-0.021042206,-0.112990529,0.100840834
